"","Player","Team","Year","Service","Super2","Player.Amt.","Team.Amt.","Midpoint","Settled.Amt.","Winner","Prev.Salary","nameFirst","nameLast","playerID","birthCountry","weight","height","bats","throws","debut","prev.year","prev.salary","Salary","Salary.Min"
"512","Emilio Bonifacio","Blue Jays",2013,4.07,"No",0,0,0,"2600000","",2.2e+12,"Emilio","Bonifacio","bonifem01","D.R.",210,70,"B","R",2007-09-02,2012,"2200000","2200000 ",480000
"513","Emilio Bonifacio","Royals",2014,5.066,"No",0,0,0,"3500000","",2.6e+12,"Emilio","Bonifacio","bonifem01","D.R.",210,70,"B","R",2007-09-02,2013,"2600000","2600000 ",490000
"514","Emmanuel Burriss","Giants",2012,2.152,"Yes",0,0,0,"625000","",4.14e+11,"Emmanuel","Burriss","burriem01","USA",190,72,"B","R",2008-04-20,2011,"0","0",414000
"515","Enrique Hernandez","Dodgers",2018,3.054,"No",0,0,0,"1600000","",5.55e+11,"Enrique","Hernandez","hernaen02","P.R.",200,71,"R","R",2014-07-01,2017,"555000 ","555000 ",535000
"516","Enrique Hernandez","Dodgers",2019,4.054,"No",0,0,0,"3725000","",1.6e+12,"Enrique","Hernandez","hernaen02","P.R.",200,71,"R","R",2014-07-01,2018,"1600000 ","1600000 ",545000
"517","Erasmo Ramirez","Rays",2016,2.158,"Yes",0,0,0,"2375000","",5.228e+11,"Erasmo","Ramirez","ramirer02","Nicaragua",215,70,"R","R",2012-04-09,2015,"522800","522800 ",507500
"518","Erasmo Ramirez","Rays",2017,3.158,"No",0,0,0,"3125000","",2.375e+12,"Erasmo","Ramirez","ramirer02","Nicaragua",215,70,"R","R",2012-04-09,2016,"2375000","2375000 ",507500
"519","Erasmo Ramirez","Mariners",2018,4.158,"No",0,0,0,"4200000","",3.125e+12,"Erasmo","Ramirez","ramirer02","Nicaragua",215,70,"R","R",2012-04-09,2017,"3125000 ","3125000 ",535000
"520","Eric Hosmer","Royals",2014,2.146,"Yes",0,0,0,"3600000","",5.2825e+11,"Eric","Hosmer","hosmeer01","USA",225,76,"L","L",2011-05-06,2013,"528250","528250 ",490000
"521","Eric Hosmer","Royals",2015,3.146,"No",6700000,4600000,5650000,"Extension","",3.6e+12,"Eric","Hosmer","hosmeer01","USA",225,76,"L","L",2011-05-06,2014,"3600000","3600000 ",5e+05
"522","Eric Hosmer","Royals",2017,5.146,"No",0,0,0,"12250000","",8.25e+12,"Eric","Hosmer","hosmeer01","USA",225,76,"L","L",2011-05-06,2016,"8250000","8250000 ",507500
"523","Eric O'Flaherty","Braves",2012,4.062,"No",0,0,0,"2490000","",8.95e+11,"Eric","O'Flaherty","oflaher01","USA",210,74,"L","L",2006-08-16,2011,"895000","895000 ",414000
"524","Eric O'Flaherty","Braves",2013,5.06,"No",0,0,0,"4320000","",2.49e+12,"Eric","O'Flaherty","oflaher01","USA",210,74,"L","L",2006-08-16,2012,"2490000","2490000 ",480000
"525","Eric Sogard","Athletics",2015,3.064,"No",1425000,9e+05,1163000,"1075000","",5.1e+11,"Eric","Sogard","sogarer01","USA",180,69,"L","R",2010-09-14,2014,"510000","510000 ",5e+05
"526","Eric Sogard","Athletics",2016,4.064,"No",0,0,0,"1500000","",1.075e+12,"Eric","Sogard","sogarer01","USA",180,69,"L","R",2010-09-14,2015,"1075000","1075000 ",507500
"527","Eric Stults","Padres",2014,3.075,"No",0,0,0,"2750000","",5.076e+11,"Eric","Stults","stulter01","USA",220,74,"L","L",2006-09-05,2013,"507600","507600 ",490000
"528","Eric Young","Mets",2014,3.123,"No",0,0,0,"1850000","",4.92e+11,"Eric","Young","younger03","USA",195,70,"B","R",2009-08-25,2013,"492000","492000 ",490000
"529","Erick Aybar","Angels",2012,5.086,"No",0,0,0,"5075000","",3e+12,"Erick","Aybar","aybarer01","D.R.",195,70,"B","R",2006-05-16,2011,"3e+06","3000000 ",414000
"530","Erik Kratz","Brewers",2019,4.156,"No",0,0,0,"1200000","",9.715847e+12,"Erik","Kratz","kratzer01","USA",250,76,"R","R",2010-07-17,2018,"0","0",545000
"531","Ernesto Frieri","Angels",2014,3.101,"No",0,0,0,"3800000","",5.3e+11,"Ernesto","Frieri","frierer01","Colombia",205,72,"R","R",2009-09-26,2013,"530000","0",490000
