Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,bbrefID,year,team
25,us US,R,R,"6' 4""",215,33786,5,20,20,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2700000,,sanchaa01,2018,TOR
28,us US,L,L,"6' 3""",205,31836,3,41,0,6,41,41,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,520000,,thompaa01,2015,MIN
28,do DO,B,R,"5' 9""",210,32686,5,69,48,69,58,0,0,0,0,0,0,20,8,32,60,4,7,7,0,544200,,almonab01,2017,CLE
24,do DO,R,L,"6' 3""",195,34140,2,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.8,535000,,mejiaad01,2017,MIN
21,us US,B,R,"6' 1""",190,34907,3,25,13,25,23,0,0,0,14,0,9,0,0,0,0,1,2,4,-0.7,537250,,mondera02,2017,KCR
27,us US,R,R,"6' 4""",195,33100,1st,28,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.2,545000,,cimbead01,2018,CLE
26,us US,L,L,"6' 3""",200,33017,2,25,25,23,25,25,0,0,0,0,0,0,0,0,0,0,0,0,1.3,512500,,conlead01,2016,MIA
27,us US,L,L,"6' 3""",200,33017,3,22,20,20,22,22,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,537500,,conlead01,2017,MIA
32,us US,L,R,"6' 6""",285,29168,12,151,149,151,56,0,0,52,0,0,0,5,0,0,5,93,2,0,1.6,14000000,All-Star,dunnad01,2012,CHW
33,us US,L,R,"6' 6""",285,29168,13,149,145,149,73,0,0,71,0,0,0,3,0,0,3,74,3,0,0,15000000,,dunnad01,2013,CHW
34,us US,L,R,"6' 6""",285,29168,14,106,102,106,29,1,0,23,0,0,0,4,0,2,6,75,4,0,0.5,15000000,,dunnad01,2014,CHW
27,us US,R,R,"6' 1""",215,32390,3,150,145,150,146,0,0,5,0,3,0,137,0,6,143,0,4,0,3.2,510000,All-Star,duvalad01,2016,CIN
28,us US,R,R,"6' 1""",215,32390,4,157,149,157,151,0,0,3,0,0,0,151,0,0,151,2,6,0,1.8,577500,,duvalad01,2017,CIN
29,us US,R,R,"6' 1""",215,32390,5,105,82,105,94,0,0,10,0,1,0,89,0,0,89,0,16,0,1.4,645000,,duvalad01,2018,CIN
24,us US,L,L,"5' 9""",176,32483,2,66,56,66,60,0,0,0,0,0,0,35,30,4,69,1,6,3,-0.1,491000,,eatonad02,2013,ARI
25,us US,L,L,"5' 9""",176,32483,3,123,123,123,121,0,0,0,0,0,0,0,121,0,121,0,0,0,5.3,511000,,eatonad02,2014,CHW
26,us US,L,L,"5' 9""",176,32483,4,153,151,153,145,0,0,0,0,0,0,0,145,0,145,7,2,0,4,850000,,eatonad02,2015,CHW
27,us US,L,L,"5' 9""",176,32483,5,157,154,157,156,0,0,0,0,0,0,1,48,121,170,1,1,0,6.1,2750000,,eatonad02,2016,CHW
28,us US,L,L,"5' 9""",176,32483,6,23,22,23,23,0,0,0,0,0,0,5,20,2,27,0,1,0,0.4,4000000,,eatonad02,2017,WSN
29,us US,L,L,"5' 9""",176,32483,7,95,76,95,76,0,0,0,0,0,0,10,0,67,76,3,18,0,1.1,6000000,,eatonad02,2018,WSN
26,us US,R,R,"6' 2""",210,33581,2,143,124,143,140,0,0,0,0,0,0,0,140,0,140,2,3,6,0.6,552000,,engelad01,2018,CHW
25,us US,L,R,"5' 10""",180,33586,2,121,93,121,105,0,0,0,42,1,1,52,4,15,71,1,24,1,1.7,549500,,fraziad01,2017,PIT
26,us US,L,R,"5' 10""",180,33586,3,113,67,113,85,0,0,0,55,0,0,14,9,13,35,2,38,1,2.7,571000,,fraziad01,2018,PIT
26,us US,R,R,"6' 2""",215,31260,7,162,162,162,162,0,0,0,0,0,0,0,162,0,162,1,0,0,4.1,6150000,All-Star,jonesad01,2012,BAL
27,us US,R,R,"6' 2""",215,31260,8,160,160,160,156,0,0,0,0,0,0,0,156,0,156,4,0,0,4.7,8500000,All-Star,jonesad01,2013,BAL
28,us US,R,R,"6' 2""",215,31260,9,159,157,159,155,0,0,0,0,0,0,0,155,0,155,4,2,0,4.8,13000000,All-Star,jonesad01,2014,BAL
29,us US,R,R,"6' 2""",215,31260,10,137,137,137,134,0,0,0,0,0,0,0,134,0,134,3,0,0,3.4,13333333,All-Star,jonesad01,2015,BAL
30,us US,R,R,"6' 2""",215,31260,11,152,150,152,152,0,0,0,0,0,0,0,152,0,152,0,0,0,1.4,16333333,,jonesad01,2016,BAL
31,us US,R,R,"6' 2""",215,31260,12,147,147,147,147,0,0,0,0,0,0,0,147,0,147,0,0,0,2.6,16333333,,jonesad01,2017,BAL
32,us US,R,R,"6' 2""",215,31260,13,145,144,145,139,0,0,0,0,0,0,2,106,33,139,6,0,0,0.2,17333333,,jonesad01,2018,BAL
36,us US,L,R,"5' 11""",195,27769,14,86,40,86,57,0,0,3,16,39,0,1,0,0,1,0,33,2,0.3,800000,,kennead01,2012,LAD
32,us US,L,L,"6' 2""",205,29165,9,154,149,154,153,0,0,153,0,0,0,0,0,0,0,0,3,0,4.2,8000000,,larocad01,2012,WSN
33,us US,L,L,"6' 2""",205,29165,10,152,144,152,149,0,0,149,0,0,0,0,0,0,0,1,4,0,0.8,10000000,,larocad01,2013,WSN
34,us US,L,L,"6' 2""",205,29165,11,140,136,140,136,0,0,136,0,0,0,0,0,0,0,1,4,0,2.3,12000000,,larocad01,2014,WSN
35,us US,L,L,"6' 2""",205,29165,12,127,116,127,49,1,0,48,0,0,0,0,0,0,0,74,9,0,-0.8,12000000,,larocad01,2015,CHW
28,us US,L,L,"6' 2""",195,30514,7,93,85,93,61,0,0,61,0,0,0,0,0,0,0,32,8,0,0.3,5000000,,lindad01,2012,TOR
29,us US,L,L,"6' 2""",195,30514,8,143,121,143,76,0,0,76,0,0,0,0,0,0,0,61,22,0,1.9,5000000,,lindad01,2013,TOR
30,us US,L,L,"6' 2""",195,30514,9,96,78,96,47,0,0,47,0,0,0,0,0,0,0,37,16,1,2,7000000,,lindad01,2014,TOR
31,us US,L,L,"6' 2""",195,30514,10,149,135,149,138,0,0,138,0,0,0,0,0,0,0,1,14,0,3.2,7500000,,lindad01,2015,MIL
32,us US,L,L,"6' 2""",195,30514,11,126,102,126,101,0,0,101,0,0,0,0,0,0,0,16,23,0,-0.3,8000000,,lindad01,2016,SEA
33,us US,L,L,"6' 2""",195,30514,12,116,61,116,63,0,0,39,0,0,0,25,0,0,25,7,48,0,0.8,1000000,,lindad01,2017,WSN
27,us US,L,L,"6' 1""",200,32931,3,37,0,36,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0.7,539000,,morgaad01,2017,PHI
28,us US,L,L,"6' 1""",200,32931,4,67,0,64,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0.7,559000,,morgaad01,2018,PHI
27,us US,L,R,"6' 5""",220,31373,3,51,0,48,51,51,0,0,0,0,0,0,0,0,0,0,0,0,2.3,491000,,ottavad01,2013,COL
28,us US,L,R,"6' 5""",220,31373,4,75,0,72,75,75,0,0,0,0,0,0,0,0,0,0,0,0,1.3,502000,,ottavad01,2014,COL
29,us US,L,R,"6' 5""",220,31373,5,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1300000,,ottavad01,2015,COL
30,us US,L,R,"6' 5""",220,31373,6,34,0,30,34,34,0,0,0,0,0,0,0,0,0,0,0,0,1,1300000,,ottavad01,2016,COL
31,us US,L,R,"6' 5""",220,31373,7,63,0,59,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2100000,,ottavad01,2017,COL
32,us US,B,R,"6' 5""",220,31373,8,75,0,70,75,75,0,0,0,0,0,0,0,0,0,0,0,0,2.6,7000000,,ottavad01,2018,COL
29,us US,R,R,"6' 2""",200,30456,5,42,31,42,41,0,0,7,21,3,11,0,0,0,0,0,1,3,0.8,600000,,rosalad01,2012,OAK
30,us US,R,R,"6' 2""",200,30456,6,51,34,51,51,0,0,0,13,2,36,1,0,0,1,0,13,1,0.2,700000,,rosalad01,2013,OAK
31,us US,R,R,"6' 2""",200,30456,7,56,44,56,46,0,0,32,5,7,3,0,0,0,0,5,4,3,1.2,750000,,rosalad01,2014,TEX
32,us US,R,R,"6' 2""",200,30456,8,55,32,53,47,2,0,19,19,14,0,1,0,0,1,1,4,8,-0.2,900000,,rosalad01,2015,TEX
33,us US,R,R,"6' 2""",200,30456,9,105,52,105,84,0,0,1,36,41,15,2,0,1,3,1,22,8,1.8,800000,,rosalad01,2016,SDG
34,us US,R,R,"6' 2""",200,30456,10,71,59,71,67,0,0,0,8,4,55,1,0,0,1,1,3,2,-0.2,1250000,,rosalad01,2017,OAK
35,us US,R,R,"6' 2""",200,30456,11,13,3,13,13,0,0,5,4,3,2,0,0,0,0,0,0,6,0,100000,,rosalad01,2018,CLE
30,us US,R,R,"6' 7""",235,29828,7,33,32,32,32,32,0,0,0,0,0,0,0,0,0,0,1,0,1,9000000,,wainwad01,2012,STL
31,us US,R,R,"6' 7""",235,29828,8,35,34,32,34,34,0,0,0,0,0,0,0,0,0,0,1,0,6.4,12000000,All-Star,wainwad01,2013,STL
32,us US,R,R,"6' 7""",235,29828,9,32,32,30,32,32,0,0,0,0,0,0,0,0,0,0,0,0,6.4,19500000,All-Star,wainwad01,2014,STL
33,us US,R,R,"6' 7""",235,29828,10,7,4,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.7,19500000,,wainwad01,2015,STL
34,us US,R,R,"6' 7""",235,29828,11,34,33,32,33,33,0,0,0,0,0,0,0,0,0,0,1,0,1.8,19500000,,wainwad01,2016,STL
35,us US,R,R,"6' 7""",235,29828,12,26,23,24,24,24,0,0,0,0,0,0,0,0,0,0,2,0,0.8,19500000,,wainwad01,2017,STL
36,us US,R,R,"6' 7""",235,29828,13,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,19500000,,wainwad01,2018,STL
25,us US,R,R,"6' 1""",224,32014,2,34,2,3,34,34,0,0,0,0,0,0,0,0,0,0,0,0,1.1,490525,,warread01,2013,NYY
26,us US,R,R,"6' 1""",224,32014,3,69,0,6,69,69,0,0,0,0,0,0,0,0,0,0,0,0,1.3,527400,,warread01,2014,NYY
27,us US,R,R,"6' 1""",224,32014,4,43,17,2,43,43,0,0,0,0,0,0,0,0,0,0,0,0,2.9,572600,,warread01,2015,NYY
28,us US,R,R,"6' 1""",224,32014,5,29,0,1,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1700000,,warread01,2016,NYY
29,us US,R,R,"6' 1""",224,32014,6,46,0,4,46,46,0,0,0,0,0,0,0,0,0,0,0,0,1.4,2290000,,warread01,2017,NYY
30,us US,R,R,"6' 1""",224,32014,7,24,0,3,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3315000,,warread01,2018,NYY
23,us US,L,R,"6' 4""",230,32504,2,62,0,5,62,62,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,480000,,reedad01,2012,CHW
24,us US,L,R,"6' 4""",230,32504,3,68,0,2,68,68,0,0,0,0,0,0,0,0,0,0,0,0,1.1,520000,,reedad01,2013,CHW
25,us US,L,R,"6' 4""",230,32504,4,62,0,60,62,62,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,538500,,reedad01,2014,ARI
26,us US,L,R,"6' 4""",230,32504,5,38,0,35,38,38,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,4875000,,reedad01,2015,ARI
27,us US,L,R,"6' 4""",230,32504,6,80,0,75,80,80,0,0,0,0,0,0,0,0,0,0,0,0,2.7,5300000,,reedad01,2016,NYM
28,us US,L,R,"6' 4""",230,32504,7,48,0,46,48,48,0,0,0,0,0,0,0,0,0,0,0,0,1.8,7750000,,reedad01,2017,NYM
29,us US,L,R,"6' 4""",230,32504,8,55,0,5,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8250000,,reedad01,2018,MIN
22,us US,R,R,"6' 0""",200,34357,2,151,141,151,148,0,0,0,0,0,148,0,0,0,0,0,6,0,4.1,527000,All-Star,russead02,2016,CHC
23,us US,R,R,"6' 0""",200,34357,3,110,91,110,101,0,0,0,0,0,101,0,0,0,0,0,13,0,2.4,644000,,russead02,2017,CHC
24,us US,R,R,"6' 0""",200,34357,4,130,110,130,129,0,0,0,0,0,129,0,0,0,0,0,6,3,2,3200000,,russead02,2018,CHC
23,cu CU,R,R,"6' 0""",195,32613,1st,41,39,41,40,0,0,0,8,18,17,0,0,0,0,0,1,0,0.1,1750000,,hechaad01,2012,TOR
24,cu CU,R,R,"6' 0""",195,32613,2,148,145,148,148,0,0,0,0,0,148,0,0,0,0,0,0,1,-2.1,2750000,,hechaad01,2013,MIA
25,cu CU,R,R,"6' 0""",195,32613,3,146,146,146,146,0,0,0,0,0,146,0,0,0,0,0,0,0,0.8,2200000,,hechaad01,2014,MIA
26,cu CU,R,R,"6' 0""",195,32613,4,130,129,130,130,0,0,0,0,0,130,0,0,0,0,0,0,0,2.2,1925000,,hechaad01,2015,MIA
27,cu CU,R,R,"6' 0""",195,32613,5,155,135,155,153,0,0,0,0,0,153,0,0,0,0,0,8,1,1.2,2625000,,hechaad01,2016,MIA
28,cu CU,R,R,"6' 0""",195,32613,6,77,74,77,77,0,0,0,0,0,77,0,0,0,0,0,0,1,1.5,4350000,,hechaad01,2017,TBR
29,cu CU,R,R,"6' 0""",195,32613,7,61,57,61,61,0,0,0,0,0,61,0,0,0,0,0,0,1,0.9,5900000,,hechaad01,2018,TBR
31,cu CU,R,R,"5' 9""",205,31149,2,134,129,134,127,0,0,0,0,123,0,4,0,0,4,2,5,0,0.3,508750,,garciad01,2016,ATL
32,cu CU,R,R,"5' 9""",205,31149,3,52,40,52,40,0,0,0,0,39,0,1,0,0,1,0,12,0,-0.2,547500,,garciad01,2017,ATL
33,do DO,R,R,"5' 11""",220,28952,15,156,152,156,129,0,0,0,0,129,0,0,0,0,0,23,4,0,7.2,15000000,All-Star,beltrad01,2012,TEX
34,do DO,R,R,"5' 11""",220,28952,16,161,161,161,146,0,0,0,0,146,0,0,0,0,0,15,0,0,5.6,16000000,,beltrad01,2013,TEX
35,do DO,R,R,"5' 11""",220,28952,17,148,148,148,136,0,0,0,0,136,0,0,0,0,0,12,0,0,6.7,17000000,All-Star,beltrad01,2014,TEX
36,do DO,R,R,"5' 11""",220,28952,18,143,143,143,142,0,0,0,0,142,0,0,0,0,0,1,0,0,5.9,16000000,,beltrad01,2015,TEX
37,do DO,R,R,"5' 11""",220,28952,19,153,153,153,141,0,0,0,0,141,0,0,0,0,0,12,0,0,6.5,18000000,,beltrad01,2016,TEX
38,do DO,R,R,"5' 11""",220,28952,20,94,93,94,65,0,0,0,0,65,0,0,0,0,0,28,1,0,3.6,18000000,,beltrad01,2017,TEX
39,do DO,R,R,"5' 11""",220,28952,21,119,113,119,70,0,0,0,0,70,0,0,0,0,0,44,6,0,2.2,18000000,,beltrad01,2018,TEX
30,us US,L,L,"6' 2""",215,30079,9,36,36,36,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0.7,21000000,,gonzaad01,2012,LAD
31,us US,L,L,"6' 2""",215,30079,10,157,149,157,151,0,0,151,0,0,0,0,0,0,0,1,6,0,3.9,21000000,,gonzaad01,2013,LAD
32,us US,L,L,"6' 2""",215,30079,11,159,153,159,157,0,0,157,0,0,0,0,0,0,0,1,4,0,3.8,21000000,,gonzaad01,2014,LAD
33,us US,L,L,"6' 2""",215,30079,12,156,148,156,149,0,0,149,0,0,0,0,0,0,0,3,7,0,4.1,21857000,All-Star,gonzaad01,2015,LAD
34,us US,L,L,"6' 2""",215,30079,13,156,148,156,151,0,0,151,0,0,0,0,0,0,0,2,6,0,1.9,21857000,,gonzaad01,2016,LAD
35,us US,L,L,"6' 2""",215,30079,14,71,57,71,60,0,0,60,0,0,0,0,0,0,0,0,14,0,-1.1,22357000,,gonzaad01,2017,LAD
36,us US,L,L,"6' 2""",215,30079,15,54,43,54,48,0,0,48,0,0,0,0,0,0,0,0,7,0,-0.6,545000,,gonzaad01,2018,NYM
26,us US,R,R,"5' 10""",200,31675,2,68,0,64,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0.9,490000,,ramosaj01,2013,MIA
27,us US,R,R,"5' 10""",200,31675,3,68,0,64,68,68,0,0,0,0,0,0,0,0,0,0,0,0,2,510000,,ramosaj01,2014,MIA
